data_referencia,codigo,ticker_bbg,emissor,tipo_remuneracao,remuneracao,data_vcto,tx_compra,tx_venda,tx_indicativa,pu_indicativo,desp_pad,intervalo_indicativo_min,intervalo_indicativo_ax,PU_pct_par,duration,ref_ntnb,z_spread,lei_12431,vna,pu_par,RTG_SP_NATIONAL,RTG_FITCH_NATIONAL,AMT_OUTSTANDING,PAYMENT_RANK,COLLAT_TYP,CALLABLE,DUR_ADJ_MID,BICS_LEVEL_1_SECTOR_NAME,CPN_TYP,ISSUE_DT,AMT_OUTSTANDING,INDUSTRY_SECTOR,INDUSTRY_GROUP
4/24/2026,CGOSA2,DF593871     Corp,EQUATORIAL GOIAS DISTRIBUIDORA DE ENERGIA S.A. (*),IPCA SPREAD,"IPCA + 6,5700%",15/01/2038,7.7724,7.535,7.7607,948.411439,0.0768,7.6838,7.8376,92.081,1853.6815,15/05/2037,1.6949,SIM,1018.08071,1029.975008,#N/A N/A,#N/A N/A,1600000000,Sr Unsecured,SR UNSECURED,N,6.442406161,Utilities,FIXED,15.jan.2026,1600000000,Utilities,Electric
4/24/2026,CHSF12,ZB548775     Corp,COMPANHIA HIDRO ELETRICA DO SAO FRANCISCO - CHESF (*),DI SPREAD,"DI + 0,8500%",15/04/2029,0.869,0.4531,0.7391,1006.228797,0.099,0.6401,0.8383,100.2757,630.6004,,0.7391,NÃO,1000,1003.462582,brAAA,#N/A N/A,1000000000,Sr Unsecured,SR UNSECURED,Y,2.353530344,Utilities,FLOATING,15.abr.2024,1000000000,Utilities,Electric
4/24/2026,CHTH11,YS161653     Corp,CHINA THREE GORGES BRASIL ENERGIA S.A. (*),DI SPREAD,"DI + 0,4300%",15/12/2029,0.8916,0.4128,0.6629,1044.972134,0.1149,0.548,0.7778,99.4214,630.9406,,0.6629,NÃO,1000,1051.053285,#N/A N/A,#N/A N/A,1450000000,Sr Unsecured,SR UNSECURED,Y,1.845267003,Utilities,FLOATING,15.dez.2024,1450000000,Utilities,Electric
4/24/2026,CLAG13,BQ995151     Corp,COLOMBO AGROINDUSTRIA SA (*),IPCA SPREAD,"IPCA + 5,4806%",15/07/2028,,8.4987,8.76,1271.387162,0.1387,8.6213,8.8988,96.5337,287.8679,15/05/2027,2.2678,SIM,1298.48726,1317.039073,brAAA,#N/A N/A,400000000,Sr Unsecured,SR UNSECURED,N,0.642320039,Consumer Staples,FIXED,13.ago.2021,400000000,"Consumer, Non-cyclical",Food
4/24/2026,CMGDA0,ZD801961     Corp,CEMIG DISTRIBUIÇÃO S/A (*),DI SPREAD,"DI + 0,8000%",15/02/2029,0.8101,0.5146,0.6397,1029.593925,0.0697,0.57,0.7095,100.3152,498.3903,,0.6397,NÃO,1000,1026.358924,#N/A N/A,AAA(bra),400000000,Sr Unsecured,SR UNSECURED,Y,1.402075136,Utilities,FLOATING,15.fev.2024,400000000,Utilities,Electric
4/24/2026,CMGDA3,YP503741     Corp,CEMIG DISTRIBUIÇÃO S/A (*),DI SPREAD,"DI + 0,6400%",15/04/2030,0.8261,0.5339,0.682,1002.228809,0.0553,0.6267,0.7374,99.882,713.0046,,0.682,NÃO,1000,1003.412782,#N/A N/A,#N/A N/A,1143000000,Sr Unsecured,SR UNSECURED,Y,2.091578949,Utilities,FLOATING,10.abr.2025,1143000000,Utilities,Electric
4/24/2026,CMIN22,BY457820     Corp,CSN MINERACAO S.A.,IPCA SPREAD,"IPCA + 7,0673%",15/07/2037,14.6468,12.8014,13.7032,792.069897,0.424,13.2792,14.1273,65.9838,1639.7402,15/05/2035,7.7845,SIM,1178.80343,1200.400996,#N/A N/A,BBB-(bra) *-,665000000,Sr Unsecured,SR UNSECURED,N,5.422296219,Materials,FIXED,12.ago.2022,665000000,Basic Materials,Iron/Steel
4/24/2026,CONX12,BY762559     Corp,TRIPLE PLAY BRASIL PARTICIPACOES S.A. (*),IPCA SPREAD,"IPCA + 7,6840%",15/08/2029,11.6972,,11.3632,1133.033329,0.2481,11.1151,11.6114,94.6533,407.1821,15/08/2028,5.219,SIM,1181.31451,1197.034921,NR,#N/A N/A,550000000,Secured,SR SECURED,N,0.927812504,Communications,FIXED,30.ago.2022,550000000,Communications,Internet
4/24/2026,CPFPB0,YO840832     Corp,COMPANHIA PIRATININGA DE FORÇA E LUZ (*),IPCA SPREAD,"IPCA + 6,9249%",15/05/2035,7.656,7.4012,7.5326,1031.999417,0.073,7.4596,7.6057,96.6034,1531.2104,15/05/2033,1.3547,SIM,1038.34146,1068.285093,#N/A N/A,#N/A N/A,334000000,Sr Unsecured,SR UNSECURED,N,5.53792583,Utilities,FIXED,15.mai.2025,334000000,Utilities,Electric
4/24/2026,CPFPB7,YX017074     Corp,COMPANHIA PIRATININGA DE FORÇA E LUZ (*),IPCA SPREAD,"IPCA + 6,3018%",15/04/2039,7.5434,7.2307,7.4148,1005.896652,0.0987,7.3161,7.5136,91.551,2113.625,15/05/2037,1.277,SIM,1097.1312,1098.72874,#N/A N/A,#N/A N/A,87900000,Sr Unsecured,SR UNSECURED,N,7.509032708,Utilities,FIXED,15.abr.2024,87900000,Utilities,Electric
